Id,Nome,Via,CAP,Città,Provincia,Regione,Latitudine,Longitudine,,,,,,,,,,,,,,,,
1,Carrefour Torino Montecucco,"Corso Montecucco, 108",10100,Torino,TO,Piemonte,45.0663032769322,7.63081112630671,,,,,,,,,,,,,,,,
2,Carrefour Torino Turati,"Corso Filippo Turati, 75",10134,Torino,TO,Piemonte,45.0511682430162,7.66255288237877,,,,,,,,,,,,,,,,
3,Carrefour Courmayeur,"Strada Larzey - Entrèves, 4",11013,Courmayeur,AO,Valle d'Aosta,45.7914672880303,6.97204900558627,,,,,,,,,,,,,,,,
4,Carrefour Châtillon,"Via Emilio Chanoux, 180",11024,Châtillon,AO,Valle d'Aosta,45.7577781818220,7.62119666868197,,,,,,,,,,,,,,,,
5,Carrefour Pont-Saint-Martin,"Via Nazionale, 27",11026,Pont-Saint-Martin,AO,Valle d'Aosta,45.6031787125863,7.80323724750385,,,,,,,,,,,,,,,,
6,Carrefour Savona,c.so Vittorio Veneto,17100,Savona,SV,Liguria,44.3010085272781,8.47632029245236,,,,,,,,,,,,,,,,
7,Carrefour Pietra Ligure,Piazza Mons. Prof. Nicolo Palmarini,17027,Pietra Ligure,SV,Liguria,44.1770838787972,8.27625291923570,,,,,,,,,,,,,,,,
8,Carrefour Cogoleto,Piazza della Chiesa ang. via Rati,16016,Cogoleto,GE,Liguria,44.3900560424074,8.64718616689847,,,,,,,,,,,,,,,,
9,Carrefour La Spezia,"Via di Monale, 69",19122,La Spezia,SP,Liguria,44.1075079233493,9.81695084383326,,,,,,,,,,,,,,,,
10,Carrefour Sestri Levante,"Piazza Repubblica, 28",16039,Sestri Levante,GE,Liguria,44.2727179680605,9.39850449781767,,,,,,,,,,,,,,,,
11,Carrefour Santa Margherita Ligure,"Largo Giovanni Amendola, 5/6",16038,Santa Margherita Ligure,GE,Liguria,44.3383000899778,9.21119550128225,,,,,,,,,,,,,,,,
12,Carrefour Pollein,"Località Autoporto, 22",11020,Pollein,AO,Valle d'Aosta,45.7408568319164,7.36886222685888,,,,,,,,,,,,,,,,
13,Carrefour Taggia,"Via del Piano, 18018",18018,Taggia,IM,Liguria,43.8983871688995,7.84919372349005,,,,,,,,,,,,,,,,
14,Carrefour Aosta Festaz,"Via B. Festaz, 10",11100,Aosta,AO,Valle d'Aosta,45.7410702967256,7.32298234921982,,,,,,,,,,,,,,,,
15,Carrefour Aosta Grand Chemin,Rue Grand Chemin n.132,11020,Aosta,AO,Valle d'Aosta,45.7397071911314,7.35244059971362,,,,,,,,,,,,,,,,
16,Carrefour Ventimiglia,"Via Roma, 22/A",18039,Ventimiglia,IM,Liguria,43.7905240809151,7.60930905362592,,,,,,,,,,,,,,,,
17,Carrefour Imperia,"Via Giannetti, 4",18100,Imperia,IM,Liguria,43.8877437537821,8.03248686896958,,,,,,,,,,,,,,,,
18,Carrefour Alassio,"Via G. Bosco, 36/50",17021,Alassio,IM,Liguria,44.0053332679986,8.16904661314903,,,,,,,,,,,,,,,,
19,Carrefour Genova Cecchi,"Via Antonio Cecchi, 77",16129,Genova,GE,Liguria,44.4040655982014,8.94549980174529,,,,,,,,,,,,,,,,
20,Carrefour Genova Cesarea,"Via Cesarea, 10/12R",16121,Genova,GE,Liguria,44.4069863762715,8.94343467049312,,,,,,,,,,,,,,,,
21,Carrefour Rapallo,"Via della Libertà, 60",16035,Rapallo,GE,Liguria,44.3557801112145,9.22696550957768,,,,,,,,,,,,,,,,
22,Carrefour Milano Monti,Via Vincenzo Monti 55,20153,Milano,MI,Lombardia,45.4718956000000,9.16763810000000,,,,,,,,,,,,,,,,
23,Carrefour Milano Farini,"Via Carlo Farini, 79/81",20153,Milano,MI,Lombardia,45.4878993000000,9.18232520000000,,,,,,,,,,,,,,,,
24,Carrefour Milano Ammiano,"Via Marcellino Ammiano, 14",20137,Milano,MI,Lombardia,45.4524609000000,9.21879890000000,,,,,,,,,,,,,,,,
25,Carrefour Milano Soderini,"Via Soderini, Viale S. Gimignano, 48",20153,Milano,MI,Lombardia,45.4550885000000,9.13692640000000,,,,,,,,,,,,,,,,
26,Carrefour Milano San Felice,Piazza Centro Commerciale,20090,Milano San Felice,MI,Lombardia,45.4745339000000,9.30897840000000,,,,,,,,,,,,,,,,
27,Carrefour San Donato Milanese,"Ang. Morandi, SS9",20097,San Donato Milanese,MI,Lombardia,45.4180700000000,9.27165000000000,,,,,,,,,,,,,,,,
28,Carrefour Rho,"Via Pietro Mascagni, 2",20017,Rho,MI,Lombardia,45.5277559000000,9.05246850000000,,,,,,,,,,,,,,,,
29,Carrefour Rozzano,"Via XXV Aprile, 31",20089,Rozzano,MI,Lombardia,45.3733262000000,9.14792400000000,,,,,,,,,,,,,,,,
30,Carrefour Abbiategrasso ,"Viale Serafino Dell'Uomo, 26",20081,Abbiategrasso ,MI,Lombardia,45.3982100000000,8.91678000000000,,,,,,,,,,,,,,,,
31,Carrefour Monza ,"Via A. Boito Ang, Via della Birona",20900,Monza ,MB,Lombardia,45.5801000000000,9.27250000000000,,,,,,,,,,,,,,,,
32,Carrefour Meda,Via Indipendenza,20821,Meda,MB,Lombardia,45.6604633000000,9.16069820000000,,,,,,,,,,,,,,,,
33,Carrefour Pavia,"Viale Giacomo Matteotti, 53",27100,Pavia,PV,Lombardia,45.1901709000000,9.15370140000000,,,,,,,,,,,,,,,,
34,Carrefour Pieve Porto Morone,Via XXIV Maggio,27017,Pieve Porto Morone,PV,Lombardia,45.1084329000000,9.44602450000000,,,,,,,,,,,,,,,,
35,Carrefour Lodi,Viale Italia,26900,Lodi,LO,Lombardia,45.2964432000000,9.51472480000000,,,,,,,,,,,,,,,,
36,Carrefour Verdello,"Via Papa Giovanni XXIII, 5",24049,Verdello,BG,Lombardia,45.6037000000000,9.62850000000000,,,,,,,,,,,,,,,,
37,Carrefour Bergamo,"Via G. Tiraboschi, 53",24122,Bergamo,BG,Lombardia,45.7625257000000,9.44968970000000,,,,,,,,,,,,,,,,
38,Carrefour Barzago,"Via XXV Aprile, 1",23890,Barzago,LC,Lombardia,45.7514985000000,9.32411660000000,,,,,,,,,,,,,,,,
39,Carrefour Como,"Viale Giulio Cesare, 13",22100,Como,CO,Lombardia,45.8021869000000,9.08662770000000,,,,,,,,,,,,,,,,
40,Carrefour Busto Arsizio,"Viale Duca D'Aosta, 19",21052,Busto Arsizio,VA,Lombardia,45.6160657000000,8.85490600000000,,,,,,,,,,,,,,,,
41,Carrefour Varese,Viale Belforte,21100,Varese,VA,Lombardia,45.8228603000000,8.83622090000000,,,,,,,,,,,,,,,,
42,Carrefour Cittiglio,"Via Provinciale, 10",21033,Cittiglio,VA,Lombardia,45.8916267000000,8.67049310000000,,,,,,,,,,,,,,,,
43,Carrefour Poggiridenti,"Via Stazione, 1",23020,Poggiridenti,SO,Lombardia,46.1662132000000,9.93078170000000,,,,,,,,,,,,,,,,
44,Carrefour Moncalieri,Corso Savona 69,10024,Moncalieri,TO,Piemonte,44.9837374054414,7.70599068582741,,,,,,,,,,,,,,,,
45,Carrefour Grugliasco,"Via Crea, 10",10095,Grugliasco,TO,Piemonte,45.0556983115630,7.61389629376715,,,,,,,,,,,,,,,,
46,Carrefour Collegno,"Via Spagna, 10/12",10093,Collegno,TO,Piemonte,45.1009714326203,7.59223125567459,,,,,,,,,,,,,,,,
47,Carrefour Tortona,Via Postumia snc,15057,Tortona,AL,Piemonte,44.8832835493376,8.85706980470870,,,,,,,,,,,,,,,,
48,Carrefour Pinerolo,"Via Giustetto, 43",10064,Pinerolo,TO,Piemonte,44.8838611061323,7.30067770910499,,,,,,,,,,,,,,,,
49,Carrefour Chivasso,"Via Gerbido, 15",10034,Chivasso,TO,Piemonte,45.1855451539577,7.89173584033374,,,,,,,,,,,,,,,,
50,Carrefour Burolo,"Via Liguria, 1",10010,Burolo,TO,Piemonte,45.4690601439496,7.92464087235204,,,,,,,,,,,,,,,,
51,Carrefour Vercelli,"Variante Sud, 13",13100,Vercelli,VC,Piemonte,45.3202764355876,8.39549392509778,,,,,,,,,,,,,,,,
52,Carrefour Novara,Corso Giulio Cesare,28100,Novara,NO,Piemonte,45.4351654656660,8.61763045383457,,,,,,,,,,,,,,,,
53,Carrefour Alba,"Corso Piave, 94",12051,Alba,CN,Piemonte,44.6909846513236,8.02047649930949,,,,,,,,,,,,,,,,
54,Carrefour Cuneo,"Corso IV Novembre, 19",12100,Cuneo,CN,Piemonte,44.3892502484761,7.54094977231481,,,,,,,,,,,,,,,,
55,Carrefour Villafranca d'Asti,"Regione Taverne, 105/C",14018,Villafranca d'Asti,AT,Piemonte,44.9185999261359,8.02445346254409,,,,,,,,,,,,,,,,